Headline,News
How Russian Oil Is Making Its Way From Europe To Asia.html,"Russia has been ramping up oil exports to Asia since its invasion of Ukraine led to Western sanctions on imports of Russian oil. Some of the crude and products going to Asia are being transferred from one vessel to another in international waters around Europe, including outside UK territorial waters.  Off the coast of Suffolk in the UK, outside UK territorial waters, at least two ship-to-ship transfers took place in May, and UK-crewed boats helped the transfer and delivered supplies to the tankers, according to an investigation by Global Witness and The Independent.   The coast off Southwold, Suffolk, is designated an area of outstanding natural beauty, but it is also one of the few areas around the UK where ship-to-ship transfers are allowed, The Independent’s Ben Chapman notes.  The STS transfers of fuel oil off Suffolk identified by Global Witness and The Independent saw two tankers carrying 165,000 tons of Russian fuel oil worth over $201 million (£165 million) proceed to the Middle East and Singapore. These oil transfers are not illegal. Yet, such ship-to-ship (STS) transfers around Europe are being increasingly used for reloading Russian oil onto ships that then head to Asia via the Suez Canal, tanker-tracking publications have shown. There are other areas around Europe where STS transfers are happening, and new STS transfer “hubs” have started to emerge in recent months.  According to vessel tracking and analysis by Lloyd’s List, China-owned supertankers are at the center of a new STS transfer hub in the middle of the North Atlantic, around 860 nautical miles west of Portugal. Such operations in the area have never been seen before, Alex Glykas from maritime advisors Dynamarine told Lloyd’s List. 
 Russia is also redirecting its residual fuel oil (RFO) exports – the world’s largest such exports – away from the West and to Asia, Africa, and the Middle East, according to Roslan Khasawneh, a senior fuel oil analyst at the energy analytics firm Vortexa.  “Russia’s changing flows are establishing new transhipments hubs for Russian RFO including offshore Kalamata, Greece where there has been a spike in ship-to-ship transfers as well as in Egypt which has seen its imports of Russian fuel oil climb to a record 70kbd in June. As a result, Egypt’s fuel oil exports jumped to a 10-month high of 120kbd in June, mostly to Saudi Arabia,” Khasawneh wrote in an analysis in July.   Increased STS transfers help Russia move more and more of its oil volumes to Asia and its key buyers there, China and India. These moves are offsetting to a large extent the Western sanctions on Russia’s oil and the effect of the upcoming EU embargo on imports of seaborne Russian oil and products, expected to take effect at the end of the year.  Western sanctions have so far failed to crush Russia’s oil exports as Moscow is redirecting crude and products to its more than willing Asian buyers, China and India.   Related: Oil Dips Amid Renewed Demand Concerns
 Russian oil exports dropped by just 250,000 bpd in June, to 7.4 million bpd, the International Energy Agency (IEA) said in its monthly report for July. Despite volumes of crude and product exports being at the lowest since August 2021, Russia’s export revenues increased by $700 million month-over-month on higher oil prices, to $20.4 billion, or 40% above last year’s average, the IEA’s estimates showed.  European vessel owners, especially private Greek operators, are moving a lot of the Russian oil in the months before the EU ban on seaborne Russian oil imports kicks in. Greek tanker owners have increased their exposure to Russian oil shipping in the past months as they race to profit from the higher demand for heavily discounted Russian oil in China and India.  Russian exports of crude and products are yet to see a significant dent. Despite slightly lower volumes, so far, Putin is generating more money from oil than he did prior to the invasion of Ukraine or last year, as oil prices stay elevated.  The West’s main goal to cripple Putin’s revenue but still allow Russian oil exports somewhere in the world has led to the idea of capping the price of Russian oil. The G7 group of leading industrialized nations, led by the United States, is considering waiving the ban on insurance and all services enabling transportation of Russian oil if that oil is bought at or below a certain price.  "
Oil Dips Amid Renewed Demand Concerns.html,"Oil prices plunged by 4% at the start of August as the market digested weak economic figures from China, the world’s largest crude oil importer. As of 10:12 a.m. ET on Monday, WTI Crude prices were down by 4.49% at $94.22. WTI Crude started August on the decline, following the first back-to-back monthly losses in June and July since the end of 2020. Brent Crude, the international benchmark, was down to $100—after finishing July at the $103 a barrel handle, following a brief intra-day spike to $110 on Friday. Brent Crude traded down by 3.37% to $100.40 at 10:12 a.m. ET on Monday.   The market sentiment at the start of this month was one of concern about the pace of global oil demand after Chinese factory activity unexpectedly contracted, and its manufacturing Purchasing Managers’ Index (PMI) improved only marginally in July and was well below expectations.
 PMI readings were also weaker in July than in June in the major Eurozone countries and in South Korea. In China, COVID flare-ups in July led to an unexpected contraction in factory activity, according to data from the Chinese National Bureau of Statistics. Per the Caixin China General Manufacturing PMI, the rate of improvement in China’s business conditions eased in July from a 13-month high in June and was only marginal.  
 Weak economic data from China rekindled fears about an economic slowdown in major economies and importers of crude, which could weigh on oil demand going forward. Later this week, traders and market analysts will be watching the OPEC+ monthly meeting on August 3, the first after the group decided to have all the 2020 cuts rolled back by the end of this month. “After gains last week, the focus in crude oil is shifting to the OPEC+ meeting this week where expectations for any notable increase in output for September are minimal. Supply side issues also continue to underpin but focus short-term has shifted to China’s manufacturing PMI miss and the resulting demand contraction,” Saxo Bank said on Monday."
US Crude Production Sinks In May.html,"U.S. field production of crude oil fell in May to an average of 11.595 million barrels per day (bpd), new data from the Energy Information Administration showed on Friday. That figure is down from 11.652 million bpd in April—a 57,000 bpd decline. May’s production figures are just 239,000 bpd above where they were at the same time last year, and 1.247 million bpd below pre-Covid levels. U.S. crude oil production fell in May in PADDs 1 and 3, and rose in PADDs 2, 4, and 5. The largest state gain by far was in North Dakota, which saw its production increase from 895,000 bpd to 1.049 million bpd in May. Texas, meanwhile, saw drops in production from 5.017 million bpd to 4.965 million bpd—a level that is even under those seen in December of last year, showing no production growth in Texas at all across those five months.
 New Mexico’s production dropped in May too, from 1.508 million bpd to 1.497 million bpd. The figures vary significantly from what the EIA had originally estimated for May. The EIA had previously estimated that U.S. crude production in May would rise to 11.74 million bpd. The Energy Information Administration estimated in its latest Short Term Energy Outlook that U.S. crude would average 11.91 million bpd this year, and 12.77 million bpd next year—a figure that if realized, would set a new record for U.S. production. 
 For June, the EIA estimated that production had risen to average 11.89 million bpd. With U.S. crude oil inventories down 6% from the five-year average, even with roughly a million barrels per day coming out of the Strategic Petroleum Reserve, the news that U.S. production faltered in May and has failed to make any significant gains since last year contributed to Friday’s price increase, with WTI exceeding $100 per barrel, up more than 4% on the day."
Demand Destruction Could Help America Refill Its Oil Inventories.html,"U.S. petroleum inventories are still sitting at multi-year lows for this time of the year despite record releases from the Strategic Petroleum Reserve (SPR), reports of weakening gasoline demand over the past weeks because of high prices, and a slowing economy.   Commercial crude and product stockpiles have failed to rebuild over the last few months, and the low levels point to continued tight markets for gasoline and diesel in the short term, potentially supportive of oil prices.   Yet, emphasis has been placed on a fall in U.S. gasoline demand in recent weeks after the national average price hit a record $5 a gallon in the middle of June. This, combined with fears of a recession, have weighed on WTI Crude prices. The U.S. benchmark hit this week its widest discount in over three years compared to the international Brent Crude benchmark.  This faltering demand for gasoline has weighed on WTI, while Brent prices reflect tight global physical supplies, buoyed by Russia's war on Ukraine and Western sanctions, as well as the European Union ban on Russian oil set to be implemented before the end of this year. The biggest discount of WTI to Brent in three years is driving a surge in U.S. crude oil exports, which hit a record high of 4.5 million barrels per day (bpd) in the reporting week to July 22.  The most recent data, however, shows that gasoline demand destruction isn't as clear-cut as it initially looked, with the four-week average gasoline demand still trending upward, according to EIA data. Despite signs of downward price pressures on WTI Crude, the lowest U.S. petroleum inventories in years—for some products in decades—are one strong bullish factor for oil prices, although it's not a given that it could outweigh market fears of recession.  In the latest reporting week to July 22, commercial crude oil inventories declined by 4.5 million barrels, the EIA data showed. At 422.1 million barrels, U.S. crude oil inventories are about 6% below the average for this time of the year. In gasoline, inventories decreased by 3.3 million barrels last week and are about 4% below the five-year average for this time of the year. Distillates, which include diesel, have been the tightest market this year, with current stockpile levels 23% below the seasonal five-year average. 
 Distillate fuel oil inventories, which are most closely related to the economic cycle, are at the lowest for the time of year since 2000, according to data compiled by Reuters market analyst John Kemp. So far in the third quarter, distillate stockpiles have risen by less than 1 million barrels, an unusually low pace of inventory builds. This is one of the tiniest distillate inventory builds of the past four decades, Kemp notes.   Related: The Biggest Drivers In Global Steel Supply An economic slowdown could help rebalance those very low levels of distillate stocks, but the rebalance could need a deeper and longer downturn in activity, Kemp argues.  Indeed, the U.S. economy is slowing down. The advance estimate from the U.S. Department of Commerce showed on Thursday that GDP contracted by 0.9% in the second quarter, following a 1.6% decline in Q1. In theory, the GDP data met one common definition of a recession—two consecutive quarters of GDP contraction. But policymakers insist the 'technical' recession is not a broad-based recession because many areas in the economy are still going strong, especially the labor market, and external conditions pushing inflation higher are unique.  ""When you're creating almost 400,000 jobs a month, that is not a recession,"" U.S. Treasury Secretary Janet Yellen said on NBC's Meet the Press last weekend, a few days before the GDP data was released. 
 Policymakers admit there is a slowdown, but the U.S. economy doesn't present broad-based signs of a recession.  ""I do not think the U.S. is currently in a recession. And the reason is there are just too many areas of the economy that are performing too well,"" Fed Chair Jerome Powell said at a press conference this week after the Fed announced another 75-basis-point hike in key interest rates.  ""Really the growth was extraordinarily high last year, 5 and a half percent. We would have expected growth to slow. There's also more slowing going on now,"" Powell said, reiterating the Fed's goal of a ""soft landing.""  ""If you think about what a recession really is, it's a broad-based decline across many industries that sustain for more than a couple of months and there are a bunch of specific tests in it. And this just doesn't seem like that,"" the Fed Chair added.   "
NOCs Not Big Oil Are Responsible For Most Emissions.html,
More Oil Discoveries Boost Guyanas Offshore Boom.html,"The former British colony of Guyana, a nation whose economy was hit hard by the pandemic, has emerged as the world’s hottest offshore drilling location. Since 2015 global energy major ExxonMobil as well as its partners Hess Corporation and CNOOC have made a slew of quality oil discoveries in the offshore Stabroek Block which have delivered resources in excess of 11 billion barrels of oil. This is driving a massive economic boom for Guyana, which was among the poorest nations in Lain America and the Caribbean. According to the IMF, the micro-state’s gross domestic product grew by just under 20% during 2021 and is poised for further strong expansion. The substantial surge in oil prices which sees the international Brent benchmark up by 58% over the last year to be trading for $110 per barrel coupled with the push by big oil to decarbonize its operations are adding considerable momentum to the boom. Guyana’s government is expected to bank over $1 billion in oil revenues during 2022 which according to industry consultancy Rystad Energy will soar to $7.5 billion by the end of the decade. That will deliver a tremendous economic boom which will see Guyana’s economy grow fivefold over that period. Key to this tremendous economic opportunity is the rapid ramping up of crude oil production, with Exxon estimating that its operations will have the capacity to pump 1.2 million barrels per day by 2027, which is further oil discoveries. Exxon and its partners in the 6.6-million-acre Stabroek Block have made over 25 quality discoveries with the crude found being light and sweet with an API of 32 degrees and 0.58% sulfur content. The latest discoveries were at the Seabob and Kiru-Kiru wells in the Stabroek Block to the southeast of the Payara Project. Exxon also announced that production from the Liza oilfield in the Stabroek Block has exceeded the 340,000 barrels per day initially targeted. Earlier this month it was revealed that Exxon had lodged an application with Guyana’s Environmental Protection Agency to drill 35 exploration and appraisal wells in the Stabroek Block. When the energy supermajor’s exploration success in the block is considered along with the five discoveries made in the Stabroek Block earlier this year, the drilling campaign will make additional discoveries boosting the 11 billion barrels already discovered. That crude oil is also economic to extract. Breakeven prices range from $35 per barrel Brent for Liza Phase 1, $25 a barrel for Liza Phase 2, which recently came online, and $32 per barrel for the 220,000-barrel capacity Payara Project, which is scheduled to start production during 2024.   
 While it is the Exxon-led consortium that is key to driving Guyana’s epic oil boom, which will see the Caribbean country become a leading oil producer, other international energy companies are also engaged in exploration drilling. British driller Tullow Oil, which is the operator of the world-class Jubilee field in offshore Guyana discovered in 2007, announced 37.5% partner Repsol, with TotalEnergies holding the remaining 25%, had spud the Beebei-Potaro well in the Kanuku Block. That wildcat well, which comes on the back of the 2020 Carapa medium oil discovery in the block where 13 feet of net oil pay was identified, is targeting a prospect that Repsol estimates contain around 200 million barrels of crude oil. The Kanuku Block lies below the southeastern tip of the Stabroek Block, where Exxon has made nearly all discoveries in offshore Guyana and is believed to lie on the same petroleum fairway. To the east of the Kanuku Block lies Block 58 offshore Suriname, where TotalEnergies and partner Apache have made five quality light oil discoveries with modelling estimating the block contains 6.5 billion barrels. Those factors, notably the slew of high-quality oil discoveries made by Exxon in the Southeastern tip of the Stabroek Block, bode well for further finds by Repsol and its partners in the Kanuku Block.  Related: U.S. Refiners Haven't Seen Fuel Demand Destruction
 Most of the crude oil found so far, in offshore Guyana, has been medium to light and relatively sweet, meaning it is cheaper and easier to refine into high-quality low contaminant fuels such as gasoline and diesel. That means, particularly in comparison to neighboring Venezuela, Colombia, and Ecuador which all predominantly pump heavy sour crude oil grades, the petroleum being produced in Guyana has a low carbon footprint. Those characteristics are especially important in a world where there are significant global efforts to significantly reduce carbon emissions while ratcheting up pollution restrictions and regulations. Disappointingly for Tullow, its exploration wells in the Orinduik Block, Jethro-1 and Joe-1, found high-sulfur content heavy crude oil, which compared to the light sweet crude being pumped by Exxon from the Stabroek Block is less economically viable. Guyana is a rapidly growing offshore drilling hotspot, accounting for nearly a fifth of discovered oil and natural gas resources globally and nearly a third of solely oil discoveries. The latest discoveries, made by Exxon and Repsol, coupled with growing light oil production will see Guyana become the third largest oil producer in Latin America after Brazil and then Mexico. That will deliver a tremendous economic windfall for the deeply impoverished South American nation which will grow with Georgetown focused on attracting greater energy investment and building urgently needed industry infrastructure."
US Refiners Havent Seen Fuel Demand Destruction.html,"U.S. refiners say there is no indication across their channels that America's fuel demand is weakening, contrary to recent data about gasoline consumption. The weekly inventory reports from the EIA at the beginning of July pointed to faltering demand after nationwide gasoline prices hit an average of $5 a gallon in the middle of June. During earnings calls this week, however, some of the largest U.S. refiners said they hadn't seen any signs of demand destruction.    ""Through our wholesale channel, there's really no indication of any demand destruction. In June, we actually set sales records. We sold 911,000 barrels a day in the month of June, which surpassed our previous record in August of '18 where we did 904,000 barrels a day,"" Gary Simmons, Executive Vice President and Chief Commercial Officer at Valero Energy, said on the conference call on Thursday.
 ""We read a lot about demand destruction, mobility data showing in that range of 3% to 5% demand destruction. Again, we're not seeing it in our system. We did see a bit of a lull in the first couple of weeks of July, but our seven-day averages now are back to kind of that June level, with gasoline at pre-pandemic levels and diesel continuing to trend above pre-pandemic levels,"" Simmons added. Tom Nimbley, chief executive at PBF Energy, said, ""We're at basically the same levels we've been for the last 90 days,"" commenting on demand on the company's earnings call. The latest reporting week in EIA data showed that gasoline demand increased from 8.52 million barrels per day (bpd) to 9.25 million bpd last week, AAA said on Thursday. While the national average gasoline price has dropped since Monday to $4.255 a gallon as of Friday, the rebounding demand and the latest decline in gasoline inventories ""could pressure pump prices and slow price decreases if the trend holds,"" AAA noted.
 According to data from fuel-savings app GasBuddy, Sunday-to-Wednesday U.S. gasoline demand was up 1.04% from last week, and was the highest of any Sunday-Wednesday period so far this year, exceeding the week ahead of July 4, Patrick De Haan, head of petroleum analysis for GasBuddy, said on Thursday."
Big Oil Set For Blowout Performance But What Comes Next.html,"Earnings season is here with us once again, with 21% of S&P 500 companies having reported second-quarter 2022 earnings. According to FactSet data, 68% of S&P 500 companies have reported EPS above Wall Street estimates, while 65% have beat revenue expectations. The Energy sector is expected to be the best performer this earnings season, thanks to high oil and gas prices massively improving the balance sheets of energy companies. The sector is expected to post earnings growth of 265.3% Y/Y, far above the S&P 500's blended earnings growth rate of 4.8%.  At the sub-industry level, all five energy sub-industries are reporting (or are predicted to report) a year-over-year increase in earnings of more than 20% with Oil & Gas Refining & Marketing (1,087%), Integrated Oil & Gas (251%), and Oil & Gas Exploration & Production (216%) expected to post the strongest growth. Meanwhile, the energy sector's expected revenue growth clip of 55.9%Y/Y is also the highest of any sector, and way better than the S&P 500's blended growth rate of 10.9%. The energy sector is also beating Wall Street's revenue expectations by the biggest margin (+9%). But here's the main kicker: according to FactSet, companies that derive more than half of their revenues in foreign markets are soundly outperforming those with minimal international exposure. That's a great setup for the U.S. oil and gas industry because most American supermajors tick this box.  Indeed, oil and gas giants Exxon Mobil (NYSE: XOM) and Chevron (NYSE: CVX) are expected to be the largest contributors to earnings growth and revenue growth for S&P 500 companies with more international revenue exposure.  Exxon Mobil generates 62% of revenues outside the U.S., while Chevron generates 56% of revenues outside the country. Their contribution to earnings for this category of companies is so large that FactSet says, ""…if they were excluded, the (blended) earnings growth rate for S&P 500 companies that generate more than 50% of revenues outside the U.S. would fall to just 0.5% from 10.2%, while the (blended) revenue growth rate for S&P 500 companies that generate more than 50% of revenues outside the U.S. would fall to 9.1% from 14.6%."" Earnings so far from the European giants
 In a preview of what is to come on Friday on this side of the Atlantic, European oil and gas giants have broken all kinds of new records, with investors now awaiting some significant share buybacks and dividends.  Spanish Repsol reported earnings early Thursday, showing a 4X surge in net profit for Q2, along with a quadrupling of its net income and a doubling of first-half net profit, soundly beating analyst expectations.  Shell has also reported record Q2 adjusted earnings of $11.5 billion, up from $5.5 billion in the same quarter last year. That's even far above its Q1 earnings of $9.1 billion. Now, the London-based supermajor is planning another $6-billion share buyback because it's loaded with cash.   Related: Shell And TotalEnergies See Risk Of Higher Oil Prices TotalEnergies also just reported an impressive rise in net income, booking $5.7 billion for Q2–2.6 times higher than Q2 last year–and a doubling of cash flow to $16.3 billion.  Earnings Estimates A lineup of the hottest stocks on the planet are still to report in the coming days, with Exxon Mobil Corp. and Chevron Corp. scheduled to report on Friday, July 29th before the bell and Marathon Petroleum to report next week.  Exxon Mobil has seen its Wall Street consensus EPS revised to $3.84 from $3.03, which compares well with adjusted earnings of $1.10 a share in the second quarter of 2021. Estimize, a crowdsourcing platform that gathers estimates from Wall Street analysts, fund managers, company executives, buy-side analysts, academics, and others, is expecting an adjusted profit of $3.75 a share for Exxon. FactSet estimates Q2 2022 sales of $111.3 billion for Exxon, good for a 64% increase from $67.7 billion in the second quarter of 2021, while Estimize is expecting slightly less at $110 billion in revenue for the quarter.  A sizable revenue beat might see Exxon break its record for quarterly revenue when it posted $112 billion in the third quarter of 2021. Chevron has seen its Wall Street consensus EPS revised to $5.08 from $4.71, which also compares well with adjusted earnings of $1.71 a share in the second quarter of 2021, while Estimize calls for EPS of $5.09. FactSet estimates Q2 2022 sales of $58.7 billion for Chevron, good for a 56% increase from $37.6 billion in the second quarter of 2021, while Estimize calls for revenue of $58.5B.
 Analysts are eyeing Q2 earnings of $1.21/share for Marathon, which would mean an astounding 450% YoY increase, along with a 78% jump in revenues for Q2, compared to the same quarter a year ago.   The big question now is: What happens next? This multibillion-dollar boom–the second major quarterly victory for big oil–is happening against a backdrop of global turmoil that has seen oil prices fluctuate wildly.  ""When earnings are released, it's less about what happened backward looking than it is about forward looking stocks, or stories about the future,"" Leah Hartman, chair of finance, accounting and marketing at the University of New Haven, told the Houston Chronicle.   The word ""recession"" looms large here. Big earnings have shaken the markets out of their gloomy focus on recession, but it's still the elephant in the room.  For the second straight quarter, the U.S. economy has shrunk amid surging inflation and interest rate hikes, the latest 75-basis-point hike from the Fed hitting on Wednesday.  U.S. GDP contracted at a rate of 0.9% (seasonally adjusted, annual) for April-June, according to data released by the U.S. Department of Commerce on Thursday. It was the second straight decline, with the previous contraction at 1.6%. It's not a recession, but economists are worried about what happens by the middle of next year if growth continues to slow as inflation hits a 40-year high and the Fed continues on its aggressive rate-hike path. "
Shell And TotalEnergies See Risk Of Higher Oil Prices.html,"As oil companies begin to report their impressive Q2 results on the back of high oil prices, they are also offering premonitions of even higher oil prices on the back of the tight supply situation. Shell’s Chief Executive Officer Ben van Beurden told Bloomberg TV on Thursday that there is more upside than downside for crude oil prices. “Demand hasn’t fully recovered yet and supply is definitely tight.” Van Beurden added that he sees little room for more oil production from OPEC or U.S. shale producers—and the world oil supply could be even further curtailed as the full impact of Russia sanctions goes into effect later this year. When asked about how retail prices for oil and gas could be lowered, van Beurden responded, “We cannot perform miracles.”
 “Energy markets are tight,” van Beurden said, adding that supply would be constrained and markets tight for the rest of this year and well into next. The same general sentiment was touted by TotalEnergies CEO Patrick Pouyanne, who said he saw room for oil demand to go higher, but not a lot of room for oil production to go higher. Both Shell and Total announced plans on Thursday to extend share buybacks on impressive results that doubled and nearly tripled Q2 2021 earnings, respectively. Shell reported that second-quarter earnings hit a new record of $11.472 billion, while Total reported a net income of $5.7 billion.
 The tight physical market has kept a floor under oil prices even in the face of a recession that could dent demand. That tight physical market is precisely what has emboldened TotalEnergies to forge ahead with some riskier projects in Mozambique and Uganda. The price of Brent crude oil has climbed to $107 per barrel—up $29 per barrel since the start of the year. The oil majors’ projections that oil prices could go still higher will not come as welcomed news to retail gasoline buyers or the Biden Administration, which has battled high gasoline prices since taking office."
Earnings Season Is Here And Energy Companies Are Booming.html,"Much to the chagrin of snowflakes everywhere, big oil and energy firms are slated to post a quarter of record profits in the coming weeks.  Thanks to the volatility in markets as a result of both Covid lockdowns and the conflict in Ukraine, the first six months of 2022 are slated to be the best on record for many energy majors and traders.  Names like Exxon, Vitol, Glencore, BP, Shell and TotalEnergies are all expected to report ""very strong returns"", according to a preview put together by Reuters this week.  One source told the news outlet: ""It is another record year. LNG outages will be a challenge to everyone and a big challenge to those who rely heavily on U.S. and Russian LNG."" Independent oil trader Gunvor Group and rival Trafigura have already reported record profits, the report says. 
 Another source told Reuters that ""BP did 70-80% better in the first quarter than last year, when trading returns were lackluster compared to a stellar 2020 and 2019"". The same source said that the company's trading division was ahead of its targets in Q2.  Both BP and Shell produced record results driven by trading in Q1. Sources also reported that Glencore's energy trading put up ""robust"" numbers in the first half of the year.  A banking source continued, telling Reuters: ""We are seeing similar across the sector with most reporting ongoing strong trading...the initial results year-to-date reflect ongoing record profitability.""  Related: Saudi Aramco May Hike Flagship Crude Prices To Record High Over Benchmarks Recall, we wrote just days ago that oil companies were warning about much higher prices for plenty of time to come. 
 Exxon's CEO said that global oil markets may remain tight for another three to five years largely because of a lack of investment since the pandemic began. Chief executive Darren Woods said it’ll take time for oil firms to “catch up” on the investments needed to ensure there’s enough supply. Woods was speaking at the Economic Forum in Qatar, which is among the world’s biggest exporters of liquefied natural gas and one of few nations that can substantially replace Russian gas supplies to Europe. Firms including ConocoPhillips are investing in a $29 billion project to boost Doha’s exports.  Several weeks ago it emerged that Exxon is also one of the bidders and Qatari Energy Minister Saad Al-Kaabi, speaking alongside Woods, said the US firm would get a stake. "
